Country Name,Country Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Botswana,BWA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.34,..,..,..,..,2.21,..,..,..,..,2.29,..,..,..,..,3.9,..,..,..,..,5.52,..,..,..,..,6.71,..,..,..,..,7.61,..,..,..,..,8.28,..,..,..,..,8.87,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,3.46,..,..,..,..,4.28,..,..,..,..,6.1,..,..,..,..,6.63,..,..,..,..,7.51,..,..,..,..,8.06,..,..,..,..,8.29,..,..,..,..,8.48,..,..,..,..,8.77,..,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,5.5,..,..,..,..,6.16,..,..,..,..,7.21,..,..,..,..,8.17,..,..,..,..,8.44,..,..,..,..,9.05,..,..,..,..,9.35,..,..,..,..,10.45,..,..,..,..,11.45,..,..,..,..,..,..,..,..,..,..
Burkina Faso,BFA,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.67,..,..,..,..,0.87,..,..,..,..,1.09,..,..,..,..,1.32,..,..,..,..,1.44,..,..,..,..,1.59,..,..,..,..,1.84,..,..,..,..,2.28,..,..,..,..,2.68,..,..,..,..,..,..,..,..,..,..
Cameroon,CMR,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.29,..,..,..,..,1.56,..,..,..,..,2.12,..,..,..,..,2.79,..,..,..,..,3.47,..,..,..,..,4.15,..,..,..,..,4.84,..,..,..,..,5.47,..,..,..,..,5.96,..,..,..,..,..,..,..,..,..,..
Cayman Islands,CYM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.57,..,..,..,..,0.75,..,..,..,..,1.02,..,..,..,..,1.49,..,..,..,..,2.06,..,..,..,..,2.43,..,..,..,..,2.86,..,..,..,..,3.26,..,..,..,..,3.57,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,2.61,..,..,..,..,3.25,..,..,..,..,3.87,..,..,..,..,4.38,..,..,..,..,4.83,..,..,..,..,5.69,..,..,..,..,6.47,..,..,..,..,6.86,..,..,..,..,7.12,..,..,..,..,..,..,..,..,..,..
Comoros,COM,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Rep.",COG,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,1.15,..,..,..,..,1.52,..,..,..,..,2.45,..,..,..,..,3.24,..,..,..,..,4.39,..,..,..,..,5.06,..,..,..,..,5.44,..,..,..,..,5.62,..,..,..,..,5.67,..,..,..,..,..,..,..,..,..,..
Cote d'Ivoire,CIV,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,0.76,..,..,..,..,0.94,..,..,..,..,1.29,..,..,..,..,1.69,..,..,..,..,2.04,..,..,..,..,2.5,..,..,..,..,3.25,..,..,..,..,3.74,..,..,..,..,4.22,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Barro-Lee: Average years of total schooling, age 25+, total",BAR.SCHL.25UP,6.74,..,..,..,..,7.41,..,..,..,..,7.85,..,..,..,..,8.32,..,..,..,..,8.68,..,..,..,..,9.31,..,..,..,..,9.88,..,..,..,..,10.58,..,..,..,..,11.42,..,..,..,..,..,..,..,..,..,..
